category,level,year,name,id,credits,professor,department,sub-category,language,location,remark
Elective Subject for Major,Graduate,1,Studies in Chorus Conducting,650.557 001,3,Hwang Yu Sun,Department of Vocal Music,,Korean,"[{'time': 'Fri.(09:00~10:50)', 'place': '54-211'}]", 
Requisite Subject for Major,Undergraduate,1,Chorus,651.1230 001,1,Lee Young Mann,Department of Vocal Music,,Korean,"[{'time': 'Mon.(16:00~17:50)', 'place': '55-203'}]",®
Elective Subject for Major,Undergraduate,4,Introduction to Stellar Atmosphere,3345.421 001,3,Chae Jongchul,Astronomy Program Major,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '19-212'}, {'time': 'Thur.(11:00~12:15)', 'place': '19-212'}]", 
Elective Subject for Major,Graduate,0,Stellar Atmosphere,3345.506 001,3,Chae Jongchul,Astronomy Program Major,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '19-207'}, {'time': 'Wed.(14:00~15:15)', 'place': '19-207'}]", 
Requisite Subject for Major,Undergraduate,3,Human Anatomy for Pharmacists,370.1110 001,2,Shin Youngkee,College of Pharmacy,,Korean,"[{'time': 'Fri.(13:00~14:50)', 'place': ' '}]",®
Elective Subject for Major,Undergraduate,2,Introduction to Mathematical Analysis 2,3341.202 003,3,Min-Hee Kim,Department of Mathematical Sciences,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '25-104'}, {'time': 'Wed.(11:00~12:15)', 'place': '25-104'}]",®
Elective Subject for Major,Undergraduate,2,Introduction to Mathematical Analysis 2,3341.202 002,3,Ha Seung Yeal,Department of Mathematical Sciences,,Korean,"[{'time': 'Tue.(15:30~16:45)', 'place': '25-105'}, {'time': 'Thur.(15:30~16:45)', 'place': '25-105'}]",®
Elective Subject for Major,Graduate,0,Topics in analysis,3341.721A 002,3,Sheen Dongwoo,Department of Mathematical Sciences,,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '26-B102'}, {'time': 'Thur.(14:00~15:15)', 'place': '26-B102'}]",ⓔ
Elective Subject for Major,Graduate,0,Topics in analysis,3341.721A 001,3,Byun Sun-Sig,Department of Mathematical Sciences,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '56-106'}, {'time': 'Wed.(12:30~13:45)', 'place': '56-106'}]", 
Elective Subject for Major,Undergraduate,2,Introduction to Mathematical Analysis 2,3341.202 001,3,Kim  Youngone,Department of Mathematical Sciences,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': ' '}, {'time': 'Wed.(15:30~16:45)', 'place': ' '}]", 
Elective Subject for Major,Graduate,0,Topics in Analysis 2,715.517 001,3,Sang-Gyun Youn,Department of  Mathematics Education,,Korean,"[{'time': 'Mon.(18:30~21:20)', 'place': '10-105'}]", 
Elective Subject for Major,Graduate,0,Advanced Topics in Ocean Engineering,414.762 002,3,Youngsub Lim,Department of Naval Architecture and Ocean Engineering,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '34-201'}, {'time': 'Thur.(11:00~12:15)', 'place': '34-201'}]", 
Elective Subject for Major,Graduate,0,Advanced Topics in Ocean Engineering,414.762 001,3,Yutaek Seo,Department of Naval Architecture and Ocean Engineering,,Korean,"[{'time': 'Tue.(15:30~16:45)', 'place': '34-204'}, {'time': 'Thur.(15:30~16:45)', 'place': '34-204'}]", 
Elective Subject for Major,Graduate,,Advanced Topics in Ocean Engineering,414.762 004,3,,Department of Naval Architecture and Ocean Engineering,,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '34-201'}, {'time': 'Thur.(09:30~10:45)', 'place': '34-201'}]",ⓔ
Elective Subject for Major,Graduate,,Advanced Topics in Ocean Engineering,414.762 003,3,,Department of Naval Architecture and Ocean Engineering,,Korean,"[{'time': 'Tue.(17:00~18:15)', 'place': '34-201'}, {'time': 'Thur.(17:00~18:15)', 'place': '34-201'}]", 
Elective Subject for Major,Graduate,0,Marine Microbial Ecology,3345.659 001,3,Hwang Chung Yeon,Department of Earth and Environmental Sciences,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '24-108'}]", 
Elective Subject for Major,Graduate,0,Theory of Sound Wave Propagation in the Ocean,414.768 001,3,Seong Woojae,Department of Naval Architecture and Ocean Engineering,,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '34-201'}, {'time': 'Wed.(14:00~15:15)', 'place': '34-201'}]",ⓔ
Elective Subject for Major,Graduate,0,Seminar in Oceanography,3345.776 003,3,Choi Kyung Sik,Department of Earth and Environmental Sciences,,English,"[{'time': 'Thur.(15:00~17:50)', 'place': '25-1-304'}]",ⓔ
Elective Subject for Major,Graduate,0,Seminar in Oceanography,3345.776 001,3,Kim Guebuem,Department of Earth and Environmental Sciences,,Korean,"[{'time': 'Mon.(15:00~17:50)', 'place': '25-1-406'}]", 
Elective Subject for Major,Graduate,0,Seminar in Oceanography,3345.776 004,3,Hwang Jeomshik,Department of Earth and Environmental Sciences,,Korean,"[{'time': 'Wed.(09:00~11:50)', 'place': '25-1-208'}]", 
Elective Subject for Major,Undergraduate,3,Dynamics of Ocean Waves,414.343 001,3,Kim Yonghwan,Department of Naval Architecture and Ocean Engineering,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '34-204'}, {'time': 'Wed.(11:00~12:15)', 'place': '34-204'}]", 
Elective Subject for Major,Graduate,,Topics in Fusion and Plasma Studies,459.666A 001,3,Yong Su Na,Nuclear Engineering Major,,English,"[{'time': 'Mon.(16:00~18:50)', 'place': '32-201'}]",ⓔ
Elective Subject for Major,Graduate,0,Nuclear Physics,3342.633 001,3,Choi Seonho,Physics Program Major,,Korean,"[{'time': 'Tue.(14:00~15:15)', 'place': '56-219'}, {'time': 'Thur.(14:00~15:15)', 'place': '56-219'}]", 
Requisite Subject for Major,Undergraduate,2,Introduction to Nuclear Engineering 2,409.202 001,3,Kyoung-Jae Chung,Department of Nuclear Engineering,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '32-106'}, {'time': 'Thur.(11:00~12:15)', 'place': '32-106'}]", 
Elective Subject for Major,Undergraduate,4,Nuclear Radiation Detection,409.224B 001,3,Geehyun Kim,Department of Nuclear Engineering,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '32-201'}, {'time': 'Thur.(11:00~12:15)', 'place': '32-201'}]", 
Elective Subject for Major,Graduate,0,Nuclear Magnetic Resonance Spectroscopy,5321.6610 001,3,Suh Jeong-Yong,Biomodulation Major,,English,"[{'time': 'Mon.(13:00~14:50)', 'place': '220-617'}, {'time': 'Mon.(15:00~16:50)', 'place': '220-617'}]",ⓔ
Elective Subject for Major,Graduate,0,Theory of Fusion Plasmas 2,459.563 001,3,Taik Soo Hahm,Nuclear Engineering Major,,English,"[{'time': 'Mon.(11:00~12:15)', 'place': '32-109'}, {'time': 'Wed.(11:00~12:15)', 'place': '32-109'}]",ⓔ
Elective Subject for Major,Graduate,0,Advanced Topics in Nuclei and Particles 2,3342.642 001,3,Kim Hyung  Do,Physics Program Major,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '56-219'}, {'time': 'Wed.(12:30~13:45)', 'place': '56-219'}]", 
Elective Subject for Major,Undergraduate,3,Introduction to Nuclear Fusion,409.308A 001,3,Yong Su Na,Department of Nuclear Engineering,,Korean,"[{'time': 'Tue.(09:30~10:45)', 'place': '32-108'}, {'time': 'Thur.(09:30~10:45)', 'place': '32-108'}]", 
Elective Subject for Major,Undergraduate,3,Fusion Plasma Experiments,409.313A 001,3,Kim Gon-Ho,Department of Nuclear Engineering,,Korean,"[{'time': 'Mon.(15:00~15:50)', 'place': '32-108'}, {'time': 'Mon.(16:00~17:50)', 'place': '32-108'}, {'time': 'Wed.(15:00~16:50)', 'place': '32-108'}]", 
Elective Subject for Major,Graduate,0,Advanced Fusion and Plasma Laboratory,459.662 001,3,Hwang Yongseok,Nuclear Engineering Major,,Korean,"[{'time': 'Fri.(13:00~18:50)', 'place': '32-108'}]", 
Elective Subject for Major,Graduate,0,Topics in Administrative Law,270.727 002,3,Jong Bo Kim,College of Law,,Korean,"[{'time': 'Wed.(19:00~21:50)', 'place': '15-1-102'}]", 
Elective Subject for Major,Graduate,0,Topics in Administrative Law,270.727 001,3,Park  Jeong  Hoon,College of Law,,Korean,"[{'time': 'Tue.(19:00~21:50)', 'place': '17-517'}]", 
Elective Subject for Major,Graduate,,General Theory of Constitutional Law,270.601 001,3,Song Seog-Yun,Department of Law,,Korean,"[{'time': 'Tue.(19:00~21:50)', 'place': '17-102'}]", 
Elective Subject for Major,Graduate,0,Current Theories of Counseling and Education,701.897A 001,3,Kim Changdai,Department of Education,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '9-113'}]", 
Elective Subject for Major,Graduate,0,Innovation and Development,463.546A 001,3,Lee Jeong - Dong,Interdisciplinary Program in Technology Management Economics and Policy Major,,English,"[{'time': 'Mon.(14:00~16:50)', 'place': '37-309'}]",ⓔ
Elective Subject for Major,Graduate,0,Special Studies in Modern Performing Arts,135.509 001,3,,Interdisciplinary Program in Performing Arts Studies,,Korean,"[{'time': 'Tue.(15:00~17:50)', 'place': '14-422'}]", 
Elective Subject for Major,Undergraduate,3,Modern Algebra,3341.001 001,3,Jaehui Park,Department of Mathematical Sciences,,Korean,"[{'time': 'Mon.(09:30~10:45)', 'place': '25-101'}, {'time': 'Wed.(09:30~10:45)', 'place': '25-101'}]",®
Elective Subject for Major,Undergraduate,3,Contemporary Management Theories,251.332 001,3,Lee Kyungmook,Department of Business Administration,,Korean,"[{'time': 'Mon.(14:00~16:50)', 'place': '58-327'}]", 
Elective Subject for Major,Graduate,1,Theories of Contemporary Craft Culture 1,611.5013A 001,3,Her Boyoon,Crafts Major,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '74-201'}]", 
Elective Subject for Major,Graduate,0,Studies in Modern Philosophies of Education,701.813 001,3,,Department of Education,,Korean,"[{'time': 'Fri.(10:00~12:50)', 'place': '10-1-103'}]", 
Elective Subject for Major,Undergraduate,4,Contemporary Art Songs,651.4403 001,2,Park Sung Jin,Department of Vocal Music,,Korean,"[{'time': 'Mon.(13:00~14:50)', 'place': '54-212'}]", 
Elective Subject for Major,Graduate,0,Studies in Modern German Novel,105.669 001,3,Jeong Hangkyun,Department of German Language and Literature,,Korean,"[{'time': 'Thur.(14:00~16:50)', 'place': '2-408'}]", 
Elective Subject for Major,Undergraduate,3,Modern Algebra 2,715.302 001,3,Kim Suh-Ryung,Department of  Mathematics Education,,Korean,"[{'time': 'Tue.(14:00~15:15)', 'place': '10-207'}, {'time': 'Thur.(14:00~15:15)', 'place': '10-207'}]", 
Elective Subject for Major,Undergraduate,2,Modern Marxian Economics,212.322 001,3,Kang Sungyoon,Department of Economics,,Korean,"[{'time': 'Fri.(14:00~16:50)', 'place': '16-106'}]",®
Elective Subject for Major,Undergraduate,3,Theories of Design,611.3004A 002,3,Kang Bora,Department of Design,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '49-301'}]", 
Elective Subject for Major,Graduate,0,Seminar in Contemporary Aesthetics 1,115.504 001,3,Hyun Joo Shin,Department of Aesthetics,,Korean,"[{'time': 'Fri.(14:00~16:50)', 'place': '6-208'}]", 
Elective Subject for Major,Graduate,0,Studies in the Discourses in Contemporary Art,600.537 001,3,Chunghoon Shin,Painting Major,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '74-307'}]", 
Elective Subject for Major,Undergraduate,1,Sociology in Contemporary Society,200.107 001,3,Im Dong Kyun,Department of Sociology,,Korean,"[{'time': 'Thur.(12:30~15:20)', 'place': '16-104'}]",®
Elective Subject for Major,Undergraduate,4,Contemporary Art and Visual Culture,116.435 001,3,Yun Heekyeong,Art History Major,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '7-114'}]", 
Elective Subject for Major,Graduate,0,Studies in Contemporary Aesthetics 2,115.639 001,3,,Department of Aesthetics,,Korean,"[{'time': 'Fri.(17:00~19:50)', 'place': '6-208'}]", 
Elective Subject for Major,Graduate,0,Seminar in Contemporary Aesthetics 2,115.603 001,3,Shin Hyekyoung,Department of Aesthetics,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '6-208'}]", 
Elective Subject for Major,Undergraduate,3,Modern Biology Lab. & Instruction,719.341 001,2,Lee Joonkyu,Department of Biology Education,,Korean,"[{'time': 'Fri.(13:00~16:50)', 'place': '13-108'}]", 
Requisite Subject for Major,Undergraduate,3,Contemporary Sociological Theories,205.301 001,3,Kim Hong Jung,Department of Sociology,,English,"[{'time': 'Thur.(15:30~18:20)', 'place': '16-110'}]",ⓔ
Elective Subject for Major,Undergraduate,1,Sociology in Contemporary Society,200.107 002,3,Yunjeong Joo,Department of Sociology,,Korean,"[{'time': 'Thur.(09:30~12:20)', 'place': '16-214'}]", 
Elective Subject for Major,Graduate,1,Studies on Contemporary Spanish Culture,107.586 001,3,Yim Ho Joon,Department of Hispanic Language and Literature,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '3-420'}]", 
Elective Subject for Major,Graduate,1,Modern Linguistics and Korean Language Teaching,705.732 001,3,Koo Bonkwan,Department of Korean Language Education,,Korean,"[{'time': 'Tue.(19:00~21:50)', 'place': '11-214'}]", 
Elective Subject for Major,Undergraduate,4,Modern Cosmology,3348.454 001,3,Lee Jounghun,Astronomy Program Major,,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '19-109'}, {'time': 'Thur.(12:30~13:45)', 'place': '19-109'}]",ⓔ
Elective Subject for Major,Undergraduate,1,History of Contemporary Music 2,6521.4455 001,2,Lee Heekyung,Composition Major,,Korean,"[{'time': 'Tue.(11:00~12:50)', 'place': '55-302'}]", 
Elective Subject for Major,Graduate,1,Modern Hispanic-American Prose,107.541 001,3,,Department of Hispanic Language and Literature,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '3-420'}]", 
Elective Subject for Major,Graduate,0,Topics in Current Astronomy,3345.707 001,3,Kim Woong Tae,Astronomy Program Major,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '19-206'}, {'time': 'Wed.(14:00~15:15)', 'place': '19-206'}]", 
Elective Subject for Major,Graduate,0,Theories and Criticisms of Modern and Postmodern Art,6103.514 001,3,Sim Sang Yong,Sculpture Major,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '220-203'}]", 
Requisite Subject for Major,Undergraduate,4,Topics in Contemporary Sculpture 2,603.414 001,3,Sim Sang Yong,Sculpture Major,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '43-1-101'}]", 
Elective Subject for Major,Undergraduate,3,Contemporary French Philosophy,113.367 001,3,Kim Sang Hwan,Department of Philosophy,,Korean,"[{'time': 'Mon.(15:30~18:20)', 'place': '5-211'}]", 
Elective Subject for Major,Graduate,0,Analytic Approach to Strings Literature,657.724 001,3,Lee Young Eun,String Major,,Korean,"[{'time': 'Thur.(10:00~12:50)', 'place': '53-107'}]", 
Elective Subject for Major,Graduate,0,Studies in String Literature,653.505 001,3,Hyun Park,String Major,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '54-210'}]", 
Elective Subject for Major,Undergraduate,3,Politics and Civic Education,711.316 001,3,Hyeyoung Yoo,Social Studies Education Major,,Korean,"[{'time': 'Fri.(16:00~18:50)', 'place': '11-108'}]", 
Requisite Subject for Major,Undergraduate,4,Strings Literature 2,6533.4340 001,3,Lee Young Eun,String Major,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '55-102'}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 001,2,Kim Younguck,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 003,2,Kyung Sun Lee,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 002,2,Choi  Ensik,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 004,2,Min Ji Kim,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 005,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 006,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 007,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 008,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 009,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 010,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 011,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 012,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 013,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 014,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 015,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 016,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 017,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 018,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 019,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 020,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 021,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 022,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 023,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 024,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 025,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 026,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 027,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 028,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 029,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 030,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 031,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 032,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 033,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,2,Instrumental Major,6533.2260 034,2,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 001,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 002,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 003,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 004,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 005,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 006,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,1,String Ensemble,6533.1273 001,1,Kang  Chang Woo,String Major,,Korean,"[{'time': 'Mon.(13:00~14:50)', 'place': '49-125'}, {'time': 'Wed.(13:00~14:50)', 'place': '49-125'}]", 
Requisite Subject for Major,Undergraduate,4,Externship 4,552.448 001,1,Myung-Sun Chun,Department of Veterinary Medicine,,Korean,"[{'time': 'Thur.(19:00~20:50)', 'place': '85-209'}]", 
Requisite Subject for Major,Undergraduate,4,Externship 2,552.446 001,1,Myung-Sun Chun,Department of Veterinary Medicine,,Korean,"[{'time': 'Tue.(19:00~20:50)', 'place': '85-209'}]", 
Requisite Subject for Major,Undergraduate,4,Externship 1,552.445 001,1,Myung-Sun Chun,Department of Veterinary Medicine,,Korean,"[{'time': 'Mon.(19:00~20:50)', 'place': '85-209'}]", 
Requisite Subject for Major,Undergraduate,4,Externship 3,552.447 001,1,Myung-Sun Chun,Department of Veterinary Medicine,,Korean,"[{'time': 'Wed.(19:00~20:50)', 'place': '85-209'}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 009,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 007,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 008,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,0,String Major,657.707 010,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Graduate,,Principles of Criminal Procedure,270.685 001,3,Shin Dong Woon,Department of Law,,Korean,"[{'time': 'Wed.(19:00~21:50)', 'place': '17-103'}]", 
Elective Subject for Major,Graduate,,Topics in Criminal Law,270.691 001,3,Lee   Yongsik,Department of Law,,Korean,"[{'time': 'Sat.(14:00~16:50)', 'place': ' '}]", 
Requisite Subject for Major,Undergraduate,4,Externship 5,552.449 001,1,Myung-Sun Chun,Department of Veterinary Medicine,,Korean,"[{'time': 'Fri.(19:00~20:50)', 'place': '85-209'}]", 
Elective Subject for Major,Graduate,0,Topics in Criminal Procedure,270.697 001,3,Sang  Won  Lee,College of Law,,Korean,"[{'time': 'Thur.(19:00~21:50)', 'place': '15-1-303'}]", 
